id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2022-01-01 00:00:00;2744.51000000;1639.33200000;4626.62400000;0E-8;10508.82200000;-1498.35600000
N;NORTE;2022-01-01 00:00:00;12008.79400000;785.85100000;101.35300000;0E-8;5152.56599999;7743.43200000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 00:00:00;42117.87800000;9644.47200000;5816.82800000;1.01800000;57580.20000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 00:00:00;26098.68800000;6068.49500000;10.50000000;0.01799999;31822.65600000;355.04500000
S;SUL;2022-01-01 00:00:00;1265.88600000;1150.79400000;1078.35100000;1.00000000;10096.15200000;-6600.12100000
NE;NORDESTE;2022-01-01 01:00:00;2717.98999999;1639.93600000;4364.86899999;0E-8;10598.65399999;-1875.85900000
N;NORTE;2022-01-01 01:00:00;12103.42300000;704.22499999;28.07900000;0E-8;5223.93600000;7611.79100000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 01:00:00;42760.41800000;9415.12600000;5343.08900000;1.02300000;57519.66000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 01:00:00;26140.73899999;5893.24300000;10.00000000;0.02300000;31470.53499999;573.47000000
S;SUL;2022-01-01 01:00:00;1798.26600000;1177.72200000;940.14100000;1.00000000;10226.53100000;-6309.40200000
NE;NORDESTE;2022-01-01 02:00:00;2716.14700000;1648.46300000;4533.57600000;0E-8;10625.71600000;-1727.53000000
N;NORTE;2022-01-01 02:00:00;11959.28600000;673.88300000;16.56900000;0E-8;5251.23999999;7398.49800000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 02:00:00;41763.15900000;9395.49100000;5433.96400000;1.03500000;56593.65000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 02:00:00;25283.06100000;5890.67300000;9.50000000;0.03500000;30709.41900000;473.85000000
S;SUL;2022-01-01 02:00:00;1804.66499999;1182.47200000;874.31900000;1.00000000;10007.27400000;-6144.81800000
NE;NORDESTE;2022-01-01 03:00:00;2717.67800000;1649.52200000;4461.06700000;0E-8;10583.82800000;-1755.56100000
N;NORTE;2022-01-01 03:00:00;11930.98600000;689.85600000;18.30600000;0E-8;5253.75300000;7385.39500000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 03:00:00;40770.31800000;9397.12000000;5337.01600000;1.04800000;55505.50000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 03:00:00;24641.67600000;5896.37699999;9.00000000;0.04800000;29996.61700000;550.48400000
S;SUL;2022-01-01 03:00:00;1479.97799999;1161.36500000;848.64300000;1.00000000;9671.30400000;-6180.31800000
NE;NORDESTE;2022-01-01 04:00:00;2706.14799999;1645.04300000;4474.92500000;0E-8;10495.13700000;-1669.02100000
N;NORTE;2022-01-01 04:00:00;11970.04500000;699.87500000;15.27400000;0E-8;5245.21099999;7439.98300000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 04:00:00;40151.42100000;9415.27500000;5170.64100000;1.04500000;54738.38000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 04:00:00;24415.57900000;5901.14500000;8.50000000;0.04500000;29543.14000000;782.12900000
S;SUL;2022-01-01 04:00:00;1059.64900000;1169.21200000;671.94200000;1.00000000;9454.89400000;-6553.09100000
NE;NORDESTE;2022-01-01 05:00:00;2619.92400000;1630.57200000;4689.41099999;21.78500000;9776.71499999;-815.02300000
N;NORTE;2022-01-01 05:00:00;10472.62400000;680.01700000;8.11000000;0E-8;5158.94900000;6001.80200000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 05:00:00;37842.84400000;9173.10100000;5370.99500000;23.89000000;52410.83000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 05:00:00;23988.65000000;5735.45600000;8.00000000;1.10500000;28524.85600000;1208.35500000
S;SUL;2022-01-01 05:00:00;761.64600000;1127.05599999;665.47399999;1.00000000;8950.31000000;-6395.13400000
NE;NORDESTE;2022-01-01 06:00:00;2154.25299999;1616.39000000;4583.96600000;369.13500000;9256.38500000;-532.64100000
N;NORTE;2022-01-01 06:00:00;8869.52000000;679.39599999;14.76600000;0.50000000;4944.52100000;4619.66100000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 06:00:00;35642.60300000;8836.35600000;5182.48000000;430.98300000;50092.42000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 06:00:00;23857.59899999;5436.04899999;8.00000000;60.34800000;27355.98799999;2006.00800000
S;SUL;2022-01-01 06:00:00;761.23100000;1104.52100000;575.74800000;1.00000000;8535.52800000;-6093.02800000
NE;NORDESTE;2022-01-01 07:00:00;2130.71300000;1603.35300000;5636.68200000;1091.99499999;9215.98000000;1246.76299999
N;NORTE;2022-01-01 07:00:00;7484.85200000;678.69399999;62.30100000;1.00000000;4664.97899999;3561.86800000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 07:00:00;33250.95900000;8734.22000000;6195.04700000;1365.23400000;49545.46000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 07:00:00;22880.46600000;5369.14099999;9.00000000;271.23899999;27222.50600000;1307.33999999
S;SUL;2022-01-01 07:00:00;754.92800000;1083.03200000;487.06400000;1.00000000;8441.99499999;-6115.97100000
NE;NORDESTE;2022-01-01 08:00:00;2142.81800000;1612.07700000;6051.40500000;1829.30699999;9024.17200000;2611.43500000
N;NORTE;2022-01-01 08:00:00;6809.81500000;750.37500000;41.23599999;1.50000000;4530.38100000;3072.54500000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 08:00:00;31606.07900000;8817.39600000;6437.07200000;2347.48200000;49208.03000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 08:00:00;21877.83100000;5355.09300000;9.00000000;514.67499999;27375.22700000;381.37199999
S;SUL;2022-01-01 08:00:00;775.61500000;1099.85099999;335.43100000;2.00000000;8278.24900000;-6065.35200000
NE;NORDESTE;2022-01-01 09:00:00;2145.16800000;1605.91600000;6068.49800000;2079.69700000;8891.52800000;3007.75100000
N;NORTE;2022-01-01 09:00:00;6780.31600000;807.69700000;33.31900000;2.00000000;4452.67600000;3170.65600000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 09:00:00;31722.65700000;8847.98500000;6342.70800000;2779.64000000;49692.99000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 09:00:00;22008.39299999;5318.87200000;9.00000000;695.94300000;28133.48599999;-101.27800000
S;SUL;2022-01-01 09:00:00;788.78000000;1115.49999999;231.89100000;2.00000000;8215.29999999;-6077.12900000
NE;NORDESTE;2022-01-01 10:00:00;2183.79900000;1599.66099999;6071.05900000;2158.55799999;8843.04799999;3170.02900000
N;NORTE;2022-01-01 10:00:00;7477.07500000;816.18600000;11.05100000;2.00000000;4494.44300000;3811.86899999
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 10:00:00;32455.28600000;8733.13300000;6419.56000000;2911.96500000;50519.94000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 10:00:00;21997.38700000;5204.68200000;9.00000000;749.40700000;28926.28299999;-965.80699999
S;SUL;2022-01-01 10:00:00;797.02500000;1112.60400000;328.45000000;2.00000000;8256.17000000;-6016.09100000
NE;NORDESTE;2022-01-01 11:00:00;2260.80600000;1586.20000000;5776.90799999;2156.08800000;8807.97199999;2972.03000000
N;NORTE;2022-01-01 11:00:00;8148.65400000;821.60800000;5.84400000;2.00000000;4477.94799999;4500.15800000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 11:00:00;33747.47700000;8682.74400000;6163.19600000;2872.31000000;51465.73000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 11:00:00;22519.39900000;5157.64600000;9.00000000;712.22200000;29845.28600000;-1447.01900000
S;SUL;2022-01-01 11:00:00;818.61800000;1117.29000000;371.44400000;2.00000000;8334.52100000;-6025.16900000
NE;NORDESTE;2022-01-01 12:00:00;2250.70100000;1592.66700000;5866.81800000;1976.06499999;8820.09400000;2866.15700000
N;NORTE;2022-01-01 12:00:00;8061.23900000;816.79500000;6.15500000;2.00000000;4469.77300000;4416.41600000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 12:00:00;33930.81800000;8678.54000000;6299.64900000;2770.37300000;51679.38000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 12:00:00;22825.10900000;5156.47300000;9.00000000;790.30800000;30063.02700000;-1282.13700000
S;SUL;2022-01-01 12:00:00;793.76900000;1112.60500000;417.67599999;2.00000000;8326.48600000;-6000.43600000
NE;NORDESTE;2022-01-01 13:00:00;2394.81200000;1597.28200000;6226.10499999;1934.94900000;8898.36899999;3254.77900000
N;NORTE;2022-01-01 13:00:00;6939.32100000;819.24700000;7.96800000;2.00000000;4454.95100000;3313.58500000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 13:00:00;33321.88900000;8663.85700000;6734.12600000;2775.96100000;51495.83000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 13:00:00;23177.52900000;5132.14299999;9.00000000;837.01200000;29667.39200000;-511.70800000
S;SUL;2022-01-01 13:00:00;810.22700000;1115.18500000;491.05300000;2.00000000;8475.12099999;-6056.65600000
NE;NORDESTE;2022-01-01 14:00:00;2863.49500000;1592.55300000;6831.57100000;1738.12399999;9076.85200000;3948.89099999
N;NORTE;2022-01-01 14:00:00;6468.44800000;823.40100000;19.66200000;1.00000000;4551.23699999;2761.27400000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 14:00:00;33266.34000000;8635.32600000;7501.94500000;2537.15400000;51940.77000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 14:00:00;23116.96500000;5111.45000000;10.00000000;796.03000000;29493.88600000;-459.44099999
S;SUL;2022-01-01 14:00:00;817.43199999;1107.92200000;640.71200000;2.00000000;8818.79000000;-6250.72400000
NE;NORDESTE;2022-01-01 15:00:00;3391.58300000;1588.34900000;7798.16300000;1341.78600000;9312.26700000;4807.61399999
N;NORTE;2022-01-01 15:00:00;6644.63400000;827.81399999;27.87600000;1.00000000;4687.00500000;2814.31899999
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 15:00:00;33788.79700000;8642.27400000;8700.43300000;1927.44000000;53058.94000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2022-01-01 15:00:00;22889.64000000;5119.00999999;10.00000000;583.65400000;29859.52900000;-1257.22499999
S;SUL;2022-01-01 15:00:00;862.94000000;1107.10099999;864.39399999;1.00000000;9200.14300000;-6364.70800000
NE;NORDESTE;2022-01-01 16:00:00;3567.83800000;1599.71900000;8186.83499999;957.49000000;9539.26900000;4772.61300000
N;NORTE;2022-01-01 16:00:00;7989.15000000;829.63300000;11.78200000;1.00000000;4770.58799999;4060.97700000
SIN;SISTEMA INTERLIGADO NACIONAL;2022-01-01 16:00:00;35926.88300000;8662.85400000;9097.05500000;1270.08400000;54956.88000000;0E-8
