id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
N;NORTE;2021-01-01 08:00:00;3539.22500000;2644.84299999;73.61400000;0E-8;4865.54099999;1392.14099999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 08:00:00;29572.18200000;12375.85200000;6637.83400000;1538.89000000;50124.76000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 08:00:00;21659.12999999;6199.61800000;0E-8;470.84400000;29052.18000000;-722.58799999
S;SUL;2021-01-01 08:00:00;1147.36200000;1144.28600000;300.68500000;0E-8;7472.91900000;-4880.58600000
NE;NORDESTE;2021-01-01 09:00:00;4365.46100000;2380.00299999;4955.63700000;1124.90200000;8612.69100000;4213.31200000
N;NORTE;2021-01-01 09:00:00;3614.33300000;2624.56900000;228.30100000;0E-8;4837.33000000;1629.87300000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 09:00:00;31197.33600000;12368.47500000;5584.13800000;1655.91100000;50805.86000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 09:00:00;22016.97599999;6230.14500000;0E-8;531.00900000;29675.05100000;-896.92100000
S;SUL;2021-01-01 09:00:00;1200.56599999;1133.75800000;400.20000000;0E-8;7680.78800000;-4946.26400000
NE;NORDESTE;2021-01-01 10:00:00;4966.48500000;2387.84299999;4014.48300000;1159.07700000;8609.39500000;3918.49300000
N;NORTE;2021-01-01 10:00:00;4103.01800000;2612.59499999;262.49300000;0E-8;4803.44199999;2174.66400000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 10:00:00;32824.33900000;12349.77400000;4890.24300000;1744.07300000;51808.43000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 10:00:00;22530.47999999;6206.43900000;0E-8;584.99600000;30490.90899999;-1168.99400000
S;SUL;2021-01-01 10:00:00;1224.35600000;1142.89700000;613.26700000;0E-8;7904.68300000;-4924.16299999
NE;NORDESTE;2021-01-01 11:00:00;4958.89600000;2382.91599999;3640.93199999;1161.15099999;8657.84499999;3486.05000000
N;NORTE;2021-01-01 11:00:00;4262.47599999;2603.96799999;232.63400000;0E-8;4753.33800000;2345.73999999
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 11:00:00;33834.88200000;12390.34900000;4561.86300000;1834.59100000;52621.69000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2021-01-01 11:00:00;23391.26000000;6259.77300000;0E-8;673.44000000;31191.93900000;-867.46600000
S;SUL;2021-01-01 11:00:00;1222.25000000;1143.69199999;688.29700000;0E-8;8018.56300000;-4964.32399999
NE;NORDESTE;2021-01-01 12:00:00;4928.43399999;2371.82400000;3693.36200000;1094.66299999;8714.39100000;3373.89200000
N;NORTE;2021-01-01 12:00:00;4246.05900000;2568.98199999;238.53900000;0E-8;4748.48999999;2305.09000000
SIN;SISTEMA INTERLIGADO NACIONAL;2021-01-01 12:00:00;33758.25900000;12314.66200000;4632.44300000;1758.32100000;52463.69000000;0E-8
